customer_id,frequency,recency,T,monetary_value,profit_adjusted,cluster,predicted_purchases_30,prob_alive,expected_avg_profit,CLV,CLV_ML,churn_probability
Amravati,1.0,261.0,938.0,1312.92,909.6132,2,inf,0.9999999892967001,420.29606498322124,,375.8750462859906,0.9885753327817073
Jammu,2.0,1235.0,1454.0,1084.575,2687.3532,2,0.06761052467347582,1.0,421.4203566645317,326.97581844766836,331.64088481439336,0.9885043181155466
Rajkot,7.0,973.0,1218.0,573.5185714285714,7119.591259999999,1,0.1362830983544783,1.0,420.75421330172765,824.3480990380234,819.8691860012625,0.9877147718726395
Bidar,1.0,251.0,885.0,2920.2,2019.418,5,inf,0.999999990225941,424.45202509412064,,328.3117748073268,0.9870804669440633
Betul,1.0,376.0,622.0,657.8,1496.9895,2,inf,0.9999999966922319,418.60211459010213,,335.54892605212,0.985459691197846
Ujjain,1.0,470.0,480.0,563.93,1410.2343,2,inf,0.9999999983457082,418.3593939841031,,297.3339188699311,0.9838512423649367
Malappuram,1.0,276.0,1133.0,1514.98,1319.8799999999999,2,inf,0.9999999842877849,420.8185335636853,,353.15889401833226,0.9833880350873705
Bilaspur,2.0,629.0,1035.0,781.2099999999999,3323.9802,2,0.08029339140379739,1.0,419.85557485470264,391.27986035083194,391.5327833864906,0.9831065209432015
Barmer,4.0,559.0,791.0,917.8,5437.248299999999,2,0.1202966363230358,1.0,423.1117603288946,635.6729963280634,636.5037512321856,0.9829514215588158
Dharmapuri,6.0,478.0,638.0,153.35999999999999,1457.3819999999998,1,0.16298648602411867,1.0,413.92899953893124,795.960388371099,792.4219708019637,0.9823668920826735
Faizabad,7.0,637.0,863.0,432.81,3030.6429,1,0.159750228833389,1.0,418.2463007024995,835.2590366395497,829.862669905841,0.9810337909938619
Shimoga,1.0,2.0,251.0,843.73,1098.9162000000001,2,inf,0.9999999958965506,419.08287566684015,,220.0757140352223,0.9774455597377031
Howrah,1.0,1261.0,1429.0,155.16,207.858,1,inf,0.9999999977687903,417.3024332712638,,208.19762794192897,0.9773624720458994
Pune,1.0,191.0,843.0,1094.71,1103.268,2,inf,0.999999989099671,419.7318371848293,,389.796221752496,0.9765524882942815
Pilibhit,2.0,880.0,1198.0,1090.87,5784.462,2,0.07483245993948474,1.0,421.45282679619777,375.3572938527656,369.7087131095543,0.9756901503037755
Gandhinagar,1.0,87.0,467.0,1068.22,815.9339999999999,2,inf,0.9999999941715352,419.6633417245873,,219.4408141750539,0.9751206784872277
Robertsganj,4.0,1247.0,1422.0,594.145,1967.2179999999998,2,0.0913313771091837,1.0,419.7900155412629,446.0055921406998,448.9229268456854,0.9750541283583268
Saharanpur,2.0,183.0,315.0,1218.97,1424.173104,2,0.11848720851237649,1.0,422.11357721183276,564.3349056031068,558.8773615985831,0.9738332139421021
Dhenkanal,3.0,1071.0,1374.0,506.68333333333334,6808.682400000001,2,0.08137420837704684,1.0,418.66654250854555,427.98788681557585,429.55651988588005,0.972859252464054
Adilabad,2.0,1244.0,1392.0,145.44,20.91,1,0.06922860803853666,1.0,416.57622050850233,324.084596816401,321.12984786646234,0.9724395891675444
