customer_id,frequency,recency,T,monetary_value,profit_adjusted,cluster,predicted_purchases_30,prob_alive,expected_avg_profit,CLV,CLV_ML,churn_probability
Rewa,59.0,1441.0,1458.0,335.9750847457627,987.46815,3,0.7111817645233051,1.0,407.1028529647348,3950.4215962488943,3946.422284414873,0.009415973995919594
Ghaziabad,24.0,1301.0,1457.0,533.9820833333333,845.5851,4,0.3160629050962862,1.0,424.77655555617247,1575.9899729099864,1571.7729463720464,0.8584280642736941
Abhayapuri,16.0,1198.0,1301.0,353.51312499999995,3107.88352,4,0.23977388720392093,1.0,415.41443434669117,1417.1054014193646,1421.0406909041349,0.8152597809088229
Asansol,14.0,1188.0,1306.0,597.6942857142858,2287.2385,4,0.21533957499410156,1.0,424.2760202975368,1171.716260143051,1162.8488639852503,0.9280916529711956
Jhanjharpur,15.0,1211.0,1409.0,602.8793333333334,1803.6604000000002,4,0.21833847780038995,1.0,424.90284411948045,1154.6143728623736,1159.1638432907712,0.9605447257273576
Trivandrum,14.0,1439.0,1445.0,439.645,1154.316,4,0.20401718102637612,1.0,418.7407106209645,1018.9985522216728,1025.5248613362642,0.004953840734460559
Baghpat,14.0,1395.0,1408.0,662.9057142857143,976.1265799999999,4,0.20691311971746087,1.0,426.5598993417424,1018.9293913979914,1055.2154090706138,0.021120286067269914
Nizamabad,13.0,1258.0,1259.0,239.50923076923075,647.6197599999999,4,0.20725086600873507,1.0,412.16333443632493,992.4589858235304,987.7593356084443,0.12569056998354672
Shahdol,11.0,1234.0,1333.0,357.57272727272726,1600.196,4,0.17749272000011285,1.0,416.30711296596,900.4806114371156,885.8962834258464,0.8959956119488565
Durg,11.0,1218.0,1285.0,188.09272727272727,229.6071,4,0.18092304434388673,1.0,411.6081275034951,840.5026479303586,853.1554467653589,0.22228119244712344
